,Tweet_Times,Tweet_Content,Tweet_Number_of_Likes,Tweet_Number_of_Retweets
25,2022-03-17,VIDEO of a captured Russian soldier in S. Ukraine with the interrogator displaying the soldiers`s service contract with Russia`s military. #Ukraineunderattack #Putinwarcrimes #Ukrainian #Ukraine #RussianArmedForces  #Russia #Russianwar #RussiaWarCrimes #Putin #Russia https://t.co/IXbEYrR1xH,57,21
26,2022-03-23,Ukraine is faced with an existential threat... do you approve of them using nukes? #RussianWar #Putin https://t.co/UByqyBVnHS,1,1
27,2022-03-17,VIDEO of destroyed Russian vehicles in Posad-Pokrovske in Kherson E. Ukraine #Ukraineunderattack #PutinIsaWarCriminal  #Ukrainian #Ukraine #RussianArmedForces  #Russia #Russianwar #Russianlosses #Putin https://t.co/NqfxztNNJB,29,14
28,2022-03-18,"""They Tried to Bury Us, They Didn't Know We Were Seeds"" #Ukraine version

#StandWithUkraine #CloseTheSkies #RussianWar https://t.co/KuWeTniFnz",4,2
29,2022-03-19,"Hey The Whole ""Systems"" Fucked ...

#RussianWar

He he he he he he !!! 🤣🤣🤣

#SystemXTheSystem

@Madonna @cher 

❤️ 666 https://t.co/bJewEozRLL",1,0
30,2022-03-18,GRAPHIC VIDEO of a knocked out Russian T-72 with a crewman trying to escape getting blown up as well.The location is not given but it is suggested that it may be from Mariupol #Putin #Ukraineunderattack #Ukrainian #Ukraine  #Russia #Russianwar https://t.co/Gjvgmrwiva,45,11
31,2022-03-17,VIDEO from app 4.30PM S. Ukraine time showing a  Russian convoy of app 30+ Kamaz trucks entering Berdyansk. #Ukraineunderattack #Putinwarcrimes #Ukrainian #Ukraine #RussianArmedForces  #Russia #Russianwar #RussiaWarCrimes #Putin https://t.co/gTI2Im0GLT,18,13
32,2022-03-18,VIDEO from Odessa showing Russian warships offshore on the horizon. Russia has a Guided Missile cruiser as well as landing ships waiting offshore to possibly make an amphibious landing. #Ukraine #UkraineUnderAttack #Putin #SanctionsRussia  #PutinIsaWarCriminal #Russia #RussianWar https://t.co/xWqXMes9Tg,25,21
33,2022-03-17,VERY GRAPHIC 18+ WARCRIME VIDEO from Mariupol showing bodies of civilians including a baby killed in Russia`s continued attacks on the city. #Putin #Ukraineunderattack #Putinwarcrimes #Ukrainian #Mariupol #Ukraine #RussianArmedForces  #WarCrimes #Russianwar #RussiaWarCrimes https://t.co/ZSV2AwnTD3,14,7
34,2022-03-17,"@zlj517 With respect, it seems like a weird time to try to drive a wedge. There are life and death matters taking place right now. Pro-genocide or anti-genocide seems like the decision at the moment. Here’s how the world voted on whether or not to condemn the #RussianWar on Ukraine. https://t.co/3zHvEQOPXK",180,11
35,2022-03-17,"IMAGES of Ukraine troops attack on Russian forces in Pryluky in Chernihiv pushing them back almost 50km from Kyiv destroying BM-30 Smerch rocket launchers,T-72 tanks &amp; Tigr amoured vehicles #Ukraineunderattack #Ukrainian #Ukraine #RussianArmedForces #Russianwar #Putin #Russia https://t.co/9sY8Kl1Ru4",33,11
36,2022-03-17,VIDEO of Ukraine Foreign Legion volunteers from Belarus who say they want to help break the blockade of Mariupol. #Putin #Ukraineunderattack #Putinwarcrimes #Ukrainian #Mariupol #Ukraine #RussianArmedForces  #WarCrimes #Russianwar #RussiaWarCrimes https://t.co/TZqPKWiJAm,16,6
37,2022-03-22,"The Pentagon on Monday accused Russian forces of committing war crimes in Ukraine and said it would help gather evidence of them, as it accused the Kremlin of carrying out indiscriminate attacks as part of an intentional strategy in the conflict.
#RussianUkrainianWar #RussianWar https://t.co/u8oyiG4PS6",4,1
38,2022-03-24,"#AwaazMarkets | One Month Of #RussianWar - Indian Market V/s Rest of the world - #Market

#MunafeKiBaat https://t.co/SsVbAi6FV9",29,6
39,2022-03-20,Our last meeting in #Mariupol was with a great paramedic who worked at the frontline of the #RussianWar since years and helped many people in the grey zone. Her skills and her equipment she got by @malteserDE after she had quit her management post to serve her country in need. https://t.co/2pLlZ6Ws1c,30,9
40,2022-03-19,"VIDEO of Ukrainian Air Defences over Kyiv firing at incoming Russian either missiles or aircraft, this morning. #Putin #Ukraineunderattack #Ukrainian #Ukraine  #Russia #Russianwar #PutinWarCriminal https://t.co/6xcjYMlyrI",2,1
41,2022-03-24,We’ve been told by our sources that President Biden will meet the president of Ukraine within 48 hours. #UkraineBiden #Putinswar #bidenmeets #SecretJOE #themeeting #warzone  #Russianwar #war https://t.co/Jnv8guGJA1,1,0
42,2022-03-17,IMAGES of another destroyed Russian Mi-24 Hind attack helicopter in S. Ukraine. One of the pilots insignia is also shown. #Putin #Russia #Ukraineunderattack #Ukrainian #Ukraine #RussianArmedForces #Russianwar #PutinIsaWarCriminal  #russianinvasion https://t.co/eNfchDkl46,13,3
43,2022-03-21,@phildstewart https://t.co/aZ9UabEWyT,5,2
44,2022-03-24,"Russian people bullying a grandma with anti war posters.
Not Putin 
Not the military 
Not the police 
THE PEOPLE

#russiaswar #russianwar
 https://t.co/4PRW8vXuoN",1,0
45,2022-03-19,The Truth #share #russianinvasion #russia #russianews #russland #UkraineRussiaConflict #UkraineUnderAttack #ukrainawar #russianwar #TruthWins https://t.co/vwoxPnwclW,1,0
46,2022-03-22,"@mhmck Whatever destruction that Ukrainian machines of war cannot finish, they are destined for starvation.

This is #Russianwar. It is was unjustified. It was unprovoked. Putin and his egoistic oligarchs chose the war, irrational thing no civilized nation is pursuing in 21st C https://t.co/Y6OJBi0MRd",2,0
47,2022-03-17,"VIDEO taken tonight from Russia occupied Kherson showing Russian rocket launchers firing possibly BM-30 Smerch rockets in the direction of Mykolaiv, Ukraine. #Putin #Ukraineunderattack #Putinwarcrimes #Ukrainian #Luhansk #RussianArmedForces  #Russia #Russianwar #RussiaWarCrimes https://t.co/WrHMZCVO9f",5,1
48,2022-03-21,Must watch #russianwar,1,0
49,2022-03-23,With the #RussianWar in #Ukraine not doing anything good for #Bitcoin – old pumpers are back to fool investors. Explains why the #Glitzkoin CEO believes that #BTC and #ETH investors are stressed. https://t.co/bfCDYm33oI,2,0
50,2022-03-22,We should listen very carefully what Russia's propagandists are saying. Bombing #Ukraine into rubble is not enough.They crave for more destruction and blood. Other neighbouring countries in the crosshairs. #russianaggression #UkraineInvasion #russianwar,25,11
51,2022-03-20,"One photo, so much sense...
#Kharkiv before and after the ""Russian world""
#StopRussia #StopPutin #StopRussianAggression #StandWithUkraine #UkraineUnderAttaсk #russianwar https://t.co/SMW2oTQ2P1",0,0
52,2022-03-19,"If you're curious about what the Chinese are saying about America's involvement in the #Russianwar  against Ukraine, Cao Yi is the Chinese ambassador to Lebanon &amp; this is what he's sharing😠 on his twitter feed tho I used google translate then took a screenshot. https://t.co/xf4Gum5Nnf",0,0
53,2022-03-21,"Russian propaganda threatens a nuclear strike in case NATO troops are sent to Ukraine.
“Poles, nothing will remain from your Warsaw” https://t.co/5eeJDKyV31",203,107
54,2022-03-23,"There's a real fighting Chechen force, not on #Russian side though. It is a Sheikh Mansur batallion composed from Ichkeria emigres and fighting for #Ukraine. 
#Russia #USA #RussianWar #RussianUkrainianWar #UkraineUnderAttaсk #RussianWarCrimes https://t.co/EGHy8qwMj8",4,0
55,2022-03-17,"VIDEO from a couple of days ago of a member of  Ukraine ""elite Farmers Corps"" striking again now ""capturing""a Russian BTR-80 amored vehicle. #Putin #Ukraineunderattack #Putinwarcrimes #Ukrainian #PutinWar #RussianArmedForces  #RussianSoldier  #Russianwar https://t.co/rB1la4JIag",17,7
56,2022-03-25,"One good reason why the world became like that is those ignorants who trust fake news &amp; fake science blindly
They think they know something but they know nothing
Cheap Sheeps
#Fakewar #Fakevirus #Ukrainewar #russianwar #RussianWarCrimes #Stopinvasion #Stoplying",0,0
57,2022-03-20,"Help support Ukrainian journalists.
Do that now.

https://t.co/KaJhrQlDZD",244,90
58,2022-03-24,"#AwaazMarkets | One Month Of #RussianWar - Indian Market V/s Rest of the world - #Commodities

#MunafeKiBaat https://t.co/kz6v74NMK1",11,2
59,2022-03-24,"New campaign, start calling the #RussianWar Bootleg Barbarossa https://t.co/27IUJmOxfO",1,0
60,2022-03-17,"VIDEO from Putin created Lugansk/Luhansk LNR ""Republic"" showing the transfer &amp; receipt of body bags containing dead Russian soldiers. #Putin #Ukraineunderattack #Putinwarcrimes #Ukrainian #Luhansk #Ukraine #RussianArmedForces  #Russia #Russianwar #RussiaWarCrimes #Cargo200 https://t.co/O2GF60eXa2",17,11
61,2022-03-24,"#Russia has lost up to 40,000 soldiers and 20% of their fight force/equipment as #Putin is now in #quagmire in #Ukranie as #RussianWar falters. His tank plant is closed due to #sanctions and widespread food shortages in #Moscow. He rattles cage but looks #Impotent against foes https://t.co/hoiwJfQDSt",0,0
62,2022-03-20,#Support #Ukraine #Journo Independent journalism is so very important right now in this time of mass #disinformation. Please take whatever you can and donate to these brave journalists covering the #RussianWar in #Ukraine 🙏🇺🇦🌻 #SlavaUkraini,1,0
63,2022-03-16,"Dear @BWallaceMP 
I love your profile picture of support for #Ukraine, but think you should change it to this picture from Mariupol
👇👇👇

As an former officer in Armed Forces, are the #russianwar atrocities acceptable to you?

Did we learn nothing from the Srebrenica genocide? https://t.co/dRM87YTI62",2,1
64,2022-03-24,"One month of #Russianwar against Ukraine. One month of #WarCrimes, shelling of houses, clinics, supplies and fleeing people. Years of failure of German policy towards #Russia, continuing. And one month of struggle and resistance of #Ukraine. #Freedom will win. #StandWithUkraine",7,1
65,2022-03-17,Cars escaped from #Mariupol. Most people are still blocked in the city cause all their private transport is destroyed. No chance to survive in #russianwar https://t.co/sOacuEZbQ1,0,0
66,2022-03-17,"VIDEO again of a member of  Ukraine ""elite Farmers Corps"" striking again now ""capturing""a Russian BTR-82 amoured vehicle. #Putin #Ukraineunderattack #Putinwarcrimes #Ukrainian #PutinWar #Ukraine #RussianArmedForces  #RussianSoldier  #Russianwar #Russia https://t.co/dJGGPlEyc1",11,3
67,2022-03-23,"The scars of  #russianwar literally 💔💔 @MichelleObama you are such a effective advocate for women and children, please use your influence to #HelpUkraine . We are running out of time @POTUS @WomenforWomen @KamalaHarris",1,0
68,2022-03-22,"#Putin, you have destroyed #ukraine, killed innocent, manipulated and lied for your own ppl. You have stolen from the #Russian ppl and you have taken #Russia back 100years. This is why one person never should have all power. 

#democracy #vladimirputin #dictatorship #russianwar",0,0
69,2022-03-21,Do watch my #Panorama programme tonight at 8pm BBC1. Brilliant job by ⁦@nicksturdee⁩ and ⁦@tarasissimus⁩ on the frontline in the South of Ukraine witnessing the fight back against Putin’s army. https://t.co/hPlBiCObhe,223,53
70,2022-03-21,"Why Burger King Hasn't Closed Any Of Its Russian Locations - Tasting Table #supportukraine #russianWar
 https://t.co/5QIHUrzrD9",0,0
71,2022-03-19,"VIDEO of Ukrainian Air Defences over Kyiv firing at incoming Russian either missiles or aircraft, this morning. #Putin #Ukraineunderattack #Ukrainian #Ukraine  #Russia #Russianwar #PutinWarCriminal https://t.co/VjTuWHFI1s",16,4
72,2022-03-16,I do not think that a recession will be coming soon. The #RussianWar has nothing to do or would lead to a recession but still it affects the inflation rates to which peasants like us are the victims.,2,0
73,2022-03-24,"""I do believe that war criminals are going straight to hell,"" said Ukraine's ambassador to U.N. ""I invited him to pray for his salvation and for the salvation of (Russian President Vladimir) Putin’s henchmen.” #russianwar
https://t.co/KOXIQQChMQ",12,0
74,2022-03-21,Such a chilling watch in any circumstances but it is deeply worrying to see my @coe colleague Mayor of Mykolaiv Oleksandr Syenkevych protect his city from #RussianWar I hope he &amp; his family stay safe. #Ukraine 🇺🇦 astonishing journalism especially the interview with the Russian MP,10,1
75,2022-03-23,"Price hikes for fuel, housing &amp; food to hit 40-year high as war to spark 1980s inflation. #Russianwar will put further strain on oil &amp; gas, cereal, cooking oil, fertiliser &amp; metals exports from #Russia &amp; #Ukraine. Rocky times ahead if this is the case.
https://t.co/bM4BuOBh1X",3,2
76,2022-03-17,"VIDEO supposedly showing Russian troops &amp; armored vehicles supposedly located near Mariupol,SE Ukraine. Don`t have the time to Geolocate wonder if @DajeyPetros etc would like a go at it. #Putin #Ukraineunderattack #Mariupol #Ukraine #PutinWar #Russia #RussianSoldier #Russianwar https://t.co/f7Jrd8l4yK",7,6
77,2022-03-23,"This is Nina. She is a professional pharmacist from Kharkiv. 
Nina agreed to show her face after after russian shelling. To make the world know the truth.
The woman will need a very long treatment. Who can help?
Stop #TerroRussia https://t.co/GRuJCCQkKP",5105,2025
78,2022-03-18,#RussiaInvadedUkraine with the “Denazification” war goal. We learned a lot about Russia. We know that anyone that identifies himself as Ukrainian is “nazi” for Russians. Or speaks Ukrainian. Or telling Ukrainian story. They declared a genocide. #russia #Ukraine #war #Russianwar,0,1
79,2022-03-24,It is end of Russia. Huge mistake from Russia. Putins' era will end. #RussianWar,0,0
80,2022-03-18,Russian Orthodox Church: Your task is to wipe the Ukrainian nation off the face of the Earth https://t.co/1QeqhIUEvY,714,506
81,2022-03-24,"Brilliant! #MUSE - COMPLIANCE [Official Music Video] https://t.co/XdRicfVNcI - a great song! We all need now more compliance to survive - #Covid, #RussianWar in Ukraine, climate changes etc. 
#StopWarNOW 
This video was shot in #Poland. @muse",4,1
82,2022-03-19,"Russia-Ukraine war latest: 190,000 civilians evacuated from frontline, says Ukraine, as Poland calls for EU-Russia trade ban 

#russianwar #putinspeech #UkraineRussianWar https://t.co/7j5J9GxYgj",2,1
83,2022-03-21,NATO countries!!! I'm so upset with the state of affairs in Ukraine and the world has absolutely abandoned their fellow people in peril!! React immediately please stop being scared of what we will all suffer because it is in the worlds interest  we all stand up against Russianwar,0,0
84,2022-03-24,"Welcome to the world where Ukraine, in which very few had faith in West, has spent a month successfully defending itself from the biggest military operation since World War II.
And now it has a very real chance of spelling the end of Russia as a world power.",71663,9667
85,2022-03-23,So just a question has anyone thought of posting a list of Russian Generals on the front lines and start a pool on which ones get taken out first by Ukrainian snipers? #deadpool #ukrainianhealthcaregivingoneleadpillatatime #russianinvaision #russianwar #russiangenocide,0,0
86,2022-03-18,This reminds me of Trump &amp; Hitler! UKRAINE is RIGHT. I hate bullies. #RussianWar #Ukraine https://t.co/WWRjNQD7eu,2,1
87,2022-03-24,Helping refugees is great. Creating conditions for them to go home is even better. Help Ukraine defeat Russia.,14174,2108
88,2022-03-22,"In more terrible news for Putin, Finland and Sweden — neutral for decades — attended NATO’s emergency meeting after Russia’s invasion of Ukraine and now seem poised to join the organization.",19548,3539
89,2022-03-23,"BOOM: Anonymous hacks Central Bank of Russia. They've now got the goods, and will release them everywhere in the next 2 days.

How do you feel?",31490,4611
91,2022-03-23,"Explosive.

Russia is now demanding that Europe pay for gas in rubles.

Europe gets 40% of its gas from Russia. That’s 200-800 million euros per day.

Putin is basically saying: you want to play sanctions? Either pay up in rubles or freeze.",44593,12525
92,2022-03-24,"✈️Ukrainian plane manufacturer Antonov proposes starting international fund to build new An-225, the world's biggest plane, to replace the one destroyed by fighting. 

Building a new An-225 can cost more than $3 billion.",17865,2552
93,2022-03-11,"I want to be clear: We will defend every inch of NATO territory with the full might of a united and galvanized NATO.

But we will not fight a war against Russia in Ukraine.
 
A direct confrontation between NATO and Russia is World War III. And something we must strive to prevent.",170066,24578
94,2022-03-24,"A month since Russia's invasion began, Ukraine's leader called for solidarity, warning he would see who sells out at summits in Europe. President Volodymyr Zelenskiy also called on people around the world to take to the streets and demand the war end https://t.co/E1K0aodFi6 https://t.co/G7gWVRmAPW",3924,731
95,2022-03-22,"Art amid destruction. A musician is playing cello in central Kharkiv, destroyed by Russia. 
Video @suspilne https://t.co/pbvsM1GTM7",30811,9835
96,2022-03-25,Ukraine War: Civilians abducted as Russia tries to assert control https://t.co/6rVvc5GTrU,97,53
97,2022-03-24,"There are real problems we face. A war by Russia. Devastating climate change. A deadly pandemic.

What aren’t problems? Trans kids in sports. Discussions of race in our history textbooks.

Today’s GOP is nothing but fear and distraction. Focus, America. Cut this crap.",4583,962
98,2022-03-24,"After missing on Russia 2018, Italy are out of the World Cup 2022. What an incredible disaster. 🇮🇹 #Italy",97762,11357
99,2022-03-24,Senior Biden officials are exploring a dramatic escalation of the administration’s sanctions on Russia as the death toll mounts from the war in Ukraine and the impact of existing sanctions on Russia’s economy remains unclear. https://t.co/wY63IQiaGs,284,84
100,2022-03-24,The president of the Red Cross meeting Lavrov in Moscow today. To say that this doesn’t look good is an understatement https://t.co/qxNpVC8fde,20375,3942
101,2022-03-23,"Hector Bellerin: “It's complicated to see that we are more interested in this war in Ukraine than others. The war in Palestine has been completely silenced. In Yemen, in Iraq too. Russia was excluded from the World Cup… Other countries have done the same as them for years.” https://t.co/a0XTsEZ8qY",31867,7173
102,2022-03-14,"Millions of Russians who watch state TV propaganda honestly believe that Russia is not bombing Kyiv and other cities.

If you think that sounds crazy, remember that millions of Americans who watch Fox News believe Covid is a hoax and vaccines are more dangerous than the virus.",52710,12365
103,2022-03-23,"Anonymous hacks Russia's Central Bank and more than 35,000 files will be exposed in 48 hours. https://t.co/0VUhqVmo89",86582,16912
104,2022-03-18,"Latest polls: 86.6% of Russians allow and support attack on #EU member states: Poland, Estonia, Latvia, Lithuania, Bulgaria, the Czech Republic, Slovakia and others. When I say we’re in WW3 this is what I mean.",18249,5249
105,2022-03-20,"The so called '#Russianwar of the moment'. Let we indeed not any longer call it a Russian war, but only that of a sick old man, who lost all his knowledge about the honour of an army to fight only 'a good fight'. He thought I can suggest by films a good fight at home.",0,0
106,2022-03-24,"Day 28: West still buying $1B daily in Russian oil &amp; gas, banks still not cut off SWIFT, Ukraine still does not have the weapons (jets, missiles, air defenses) it needs. The West is nowhere near close to doing all it can.",24040,6796
107,2022-03-23,"Hector Bellerín:

“The war in Palestine was completely ignored, no one talked about it. In Yemen, in Iraq too. Russia was excluded from the World Cup… And yet other countries did the same than Russia for many, many years."" https://t.co/saG8xbgQCw",45575,11571
108,2022-03-24,"A call with Zelenskyy sparked Trump's impeachment — and we can't forget why, @joycewhitevance writes. https://t.co/Oe43ZCv1d1",2009,591
109,2022-03-24,Hector Bellerin has questioned why Russia's invasion of Ukraine gained more attention than other conflicts around the world. https://t.co/aROsZaLaAr,29915,4681
110,2022-03-19,It’s a #russianwar,0,0
111,2022-03-21,"BREAKING: Anonymous says it working on a data dump that 'will ""blow Russia away.""

Smash the like button if you support Anonymous' stand against Russia's invasion! 🖐",70245,8578
112,2022-03-23,UNREAL: The hacking collective Anonymous has just hacked the Central Bank of Russia.,26640,3781
113,2022-03-24,"Today, I participated in a European Council meeting in Brussels. We committed to providing further humanitarian assistance to those fleeing violence in Ukraine and to continue imposing economic costs on Russia for its actions. https://t.co/yUL7u9m6y9",6208,963
114,2022-03-22,BREAKING NEWS: Hacker group Anonymous has released 10 GB of data from Swiss company Nestlé.  This is the collective's retaliation for continuing the company's business in Russia. https://t.co/TQjJJrCWZr,61965,13416
115,2022-03-21,BREAKING: Legendary hacker group Anonymous hacks into unsecured printers all across Russia and begins mass printing information on Putin’s invasion including Russia losses in order to bypass the Kremlin’s media blackout and propaganda. RT TO THANK ANONYMOUS FOR TAKING A STAND!,84852,24445
116,2022-03-24,"In #Luhansk region #Russia army burns Ukrainian history books, prohibits the use of names of certain historic figures, introduces rubles. So who is nazi now?",1089,385
117,2022-03-22,"“I don’t do any checks. I just take off.”

...says absolutely unreal 25-year-old f**king hero pilot for the Ukrainian Air Force.

https://t.co/cz0grZJKAU",15246,2740
118,2022-03-22,BREAKING: Poland says it wants Russia expelled from the G20 and that the US has responded positively to this proposal,82187,12931
119,2022-03-22,"BREAKING: Maersk, one of the largest shipping container lines in the entire world, announces that it will be leaving Russia due to Putin's illegal invasion of Ukraine. RT TO THANK MAERSK FOR DOING THE RIGHT THING!",41290,12124
120,2022-03-24,"⚡️Biden: Ukraine should be able to attend G20 meetings if efforts to remove Russia unsuccessful. 

After meeting with NATO allies, U.S. President Biden held a press conference and said efforts to isolate Russia need to be intensified and that Russia should be removed from the G20",7271,1280
121,2022-03-24,"Terrific that the @POTUS sanctioned Russian MPs today. Next up, sanction all members of Putin's United Russia party. All of them.",6945,1337
122,2022-03-23,"Fascinating claimed intercepted call from Russian officer near Mykolaiv to superiors in Russia. He says:
- This is worse than Chechnya
- 50% of troops have frostbite
- They can’t evacuate the dead
- Don’t have enough tents
- RU plane dropped a bomb on their own position 🧵 https://t.co/3KjGrqD5jZ",31945,10414
123,2022-03-25,"Footage of Ukrainian forces ambushing a Russian convoy. Attackers claim the destruction of a KamAZ truck and two more vehicles. https://t.co/QCcOJt6htP

 https://t.co/QCcOJt6htP
#ukraine #ukrainewar #russia",6,2
124,2022-03-23,⚡️Russian military casualties have surpassed that of the Soviet invasion of Afghanistan.,49208,8462
125,2022-03-22,"Ukranians are pulling dead children from under concrete slabs that were killed by Russian bombing.

And Fox News today is talking about Hunter Biden's laptop and an interview with Kid Rock.

Fox News is anti-American, anti-freedom and pro Russia and pro Putin. It's disgusting.",41691,10861
126,2022-03-25,"Fact: The impending food shortage crisis is Joe Biden’s fault, not Russia’s.",223,76
127,2022-03-25,"The United States assesses that Russia is suffering failure rates as high as 60% for some of the precision-guided missiles it is using to attack Ukraine, three U.S. officials with knowledge of the intelligence told Reuters. https://t.co/H8XmqyeqRc",1012,242
128,2022-03-24,Netherlands 🇳🇱 freezes 392 million EUR of #Russia assets. Nice! And yet continue to buy Russian oil and gas…the proportion of right and wrong is really off here,1750,365
129,2022-03-24,"A month ago, Russia's Vladimir Putin announced what he called a “special operation” to “disarm and de-Nazify” Ukraine. 

In reality, he was declaring an all-out war that in one month would see thousands killed, often in targeted attacks on civilians. 

https://t.co/p52lm9LpkJ",2833,889
130,2022-03-24,"Talking heads on Russian state TV seem to be striving to come up with comments that would impress their führer. They insist there is no Ukraine or Ukrainian nationality and suggest that Russian flags be placed everywhere in Ukraine, making it clear that Russia is there to stay. https://t.co/S5yLVpzA0k",593,260
131,2022-03-25,"Biden warns of 'real' food shortage following sanctions on Russia
Blame others for his  Failure🤮🤮
https://t.co/22tAV8LZ52",38,54
132,2022-03-25,EU countries are unhappy that they will be propping up Russia's ruble. They're also terrified other countries might demand deals be conducted in their local currencies. #Ukraine #Russia #NWO https://t.co/Kx4yDv36Uu,0,0
